gauge_id,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index,baseflow_index_ceh,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
17003,2.19,0.64,1.27,2.05,0.56,0.48,128.87,0.49,6.78,4.50,1.26,10.40,4.26,0.00
17004,1.19,0.46,1.33,2.18,0.60,0.55,129.98,0.21,3.66,3.95,1.70,24.15,8.08,0.00
17005,1.88,0.66,1.32,2.70,0.50,0.40,121.90,0.30,6.85,11.12,1.56,42.79,7.67,0.00
17015,2.54,0.71,1.12,2.74,0.51,0.43,121.97,0.29,8.72,6.71,1.45,62.02,11.14,0.00
17018,1.48,0.49,1.68,2.06,0.64,0.60,141.66,0.27,4.15,2.85,1.29,22.03,9.10,0.00
18001,2.96,0.73,1.36,2.66,0.52,0.43,124.90,0.43,9.81,5.73,1.24,41.65,8.14,0.00
18002,2.40,0.59,1.30,2.22,0.56,0.50,127.13,0.50,7.34,5.91,1.62,13.70,5.65,0.00
18003,4.22,0.69,1.35,2.72,0.52,0.44,125.19,0.69,14.03,3.40,1.99,39.38,10.95,0.00
18008,5.78,0.84,1.12,3.17,0.48,0.38,126.33,0.45,19.16,2.55,1.67,68.85,10.95,0.00
18010,3.28,0.69,1.17,3.33,0.47,0.36,120.60,0.29,11.67,6.88,1.67,74.50,9.53,0.00
18011,3.87,0.71,1.27,3.11,0.50,0.41,127.55,0.48,12.70,3.56,1.79,57.29,9.99,0.00
18014,3.09,0.78,1.16,2.17,0.57,0.52,124.70,0.72,9.73,6.83,1.39,6.17,4.22,0.00
18017,6.43,0.83,1.56,3.93,0.32,0.19,124.00,0.22,28.60,31.57,1.59,129.77,8.80,0.01
18018,5.27,0.80,1.12,2.91,0.47,0.39,126.93,0.60,17.54,7.86,1.18,56.07,8.35,0.00
19001,1.49,0.55,1.25,2.67,0.49,0.39,124.88,0.23,5.35,11.48,1.53,43.17,6.24,0.00
19006,1.35,0.53,1.30,2.36,0.58,0.52,133.56,0.32,4.24,5.67,1.38,6.77,4.76,0.00
19010,1.09,0.47,1.73,2.19,0.65,0.63,153.85,0.20,2.88,2.48,1.74,22.96,5.37,0.00
19017,1.04,0.44,1.57,2.47,0.47,0.39,129.81,0.11,3.70,12.63,1.79,61.64,7.62,0.00
19020,2.06,0.66,1.38,3.06,0.40,0.29,119.59,0.22,8.25,21.34,1.69,87.41,6.97,0.00
20002,0.50,0.29,2.06,2.82,0.52,0.47,135.88,0.03,1.77,13.77,2.63,79.63,9.81,0.01
20003,0.79,0.37,1.63,2.34,0.55,0.49,138.23,0.15,2.67,8.62,1.64,23.48,7.56,0.00
20007,1.01,0.44,1.53,2.31,0.61,0.58,146.54,0.21,3.00,5.77,1.65,15.79,6.65,0.00
2001,2.05,0.66,1.09,2.73,0.56,0.47,124.67,0.47,6.55,3.87,1.26,7.62,5.78,0.00
2002,2.42,0.66,1.26,3.48,0.45,0.31,126.93,0.20,8.43,8.74,1.45,85.46,10.22,0.00
21003,2.00,0.59,1.23,2.41,0.60,0.55,125.98,0.41,6.00,3.31,1.40,17.71,5.62,0.00
21006,2.16,0.62,1.04,2.45,0.58,0.51,126.46,0.40,6.58,3.46,1.48,26.29,6.00,0.00
21008,1.61,0.57,1.22,2.75,0.53,0.45,126.06,0.21,5.37,6.79,1.38,59.10,9.48,0.00
21009,1.60,0.56,1.13,2.58,0.58,0.52,129.37,0.27,4.90,2.87,1.45,30.67,7.67,0.00
21011,2.44,0.62,0.88,2.55,0.55,0.48,126.83,0.45,7.65,4.27,1.60,24.77,6.38,0.00
21012,2.45,0.69,1.18,2.87,0.51,0.42,121.17,0.26,8.14,7.42,1.40,66.25,9.87,0.00
21013,1.57,0.56,1.21,2.81,0.56,0.50,129.06,0.20,5.08,4.94,1.58,56.75,11.95,0.00
21015,1.21,0.47,1.34,2.87,0.55,0.50,132.71,0.17,3.97,7.13,1.57,60.73,11.16,0.00
21016,0.94,0.43,1.55,2.90,0.50,0.45,132.37,0.10,3.29,13.73,2.22,68.56,13.71,0.00
21017,4.40,0.82,0.97,2.85,0.44,0.33,126.54,0.45,15.85,11.19,1.29,61.77,8.87,0.00
21018,1.57,0.54,1.04,2.33,0.61,0.56,128.92,0.35,4.70,3.14,1.35,9.31,3.78,0.00
21022,1.16,0.48,1.55,2.62,0.56,0.51,140.63,0.20,3.67,7.38,1.66,36.37,5.80,0.00
21023,0.80,0.42,1.98,4.26,0.39,0.30,126.21,0.02,3.22,27.28,2.84,144.33,18.78,0.00
21024,1.48,0.55,1.46,2.48,0.50,0.41,133.35,0.26,5.22,11.71,1.42,35.32,8.33,0.00
21026,4.00,0.85,1.11,3.29,0.38,0.25,125.43,0.23,15.58,18.27,1.40,98.62,8.22,0.00
21027,1.02,0.44,1.88,2.67,0.54,0.49,134.78,0.15,3.25,8.57,1.58,47.47,10.60,0.00
22001,1.28,0.51,1.43,2.96,0.51,0.44,134.06,0.20,4.42,10.20,1.65,52.71,9.43,0.00
22006,0.66,0.34,1.71,4.14,0.43,0.36,134.54,0.04,2.55,23.48,2.57,131.80,16.96,0.00
22007,1.00,0.44,1.85,3.87,0.44,0.37,132.90,0.07,3.57,18.02,1.93,119.05,16.24,0.00
22009,1.46,0.53,1.54,2.87,0.54,0.48,139.06,0.22,4.45,7.03,1.47,46.40,10.76,0.00
23001,1.78,0.60,1.17,2.68,0.50,0.39,126.33,0.25,6.01,7.00,1.34,57.53,5.76,0.00
23004,2.22,0.69,1.22,3.11,0.45,0.33,124.87,0.24,7.96,11.65,1.36,76.29,9.36,0.00
23006,2.86,0.76,1.13,2.91,0.44,0.32,126.73,0.33,10.38,12.06,1.29,67.93,8.22,0.00
23007,0.85,0.35,1.57,1.58,0.63,0.60,154.96,0.29,2.42,6.39,1.89,0.10,2.50,0.00
23008,1.50,0.52,1.26,3.36,0.43,0.32,126.19,0.16,5.68,18.35,1.65,97.57,10.52,0.00
23011,2.80,0.74,0.93,2.72,0.43,0.32,130.96,0.40,10.44,13.84,1.27,58.17,8.14,0.00
23016,0.52,0.28,1.79,3.00,0.39,0.29,147.39,0.05,1.90,18.39,2.12,102.49,5.67,0.00
24001,1.48,0.56,1.64,2.71,0.51,0.42,133.75,0.26,5.27,11.37,1.60,37.00,5.77,0.00
24003,1.98,0.56,1.64,2.84,0.43,0.34,124.46,0.25,7.95,18.69,1.61,79.92,10.41,0.00
24004,1.41,0.54,1.42,3.10,0.52,0.47,136.56,0.17,4.71,8.86,1.52,72.26,11.31,0.00
24005,0.73,0.35,1.49,2.60,0.53,0.48,146.12,0.10,2.45,10.42,1.64,50.61,6.51,0.00
25001,1.90,0.61,1.66,3.05,0.48,0.37,129.60,0.29,6.69,10.14,1.44,48.17,5.07,0.00
25003,4.30,0.85,0.88,4.58,0.29,0.13,138.88,0.14,17.66,32.69,1.44,137.91,5.76,0.00
25006,2.31,0.74,1.20,4.09,0.35,0.22,122.00,0.11,9.81,28.47,1.75,131.59,10.30,0.00
25012,3.49,0.82,0.96,3.64,0.37,0.24,124.50,0.23,13.92,20.92,1.40,106.54,8.41,0.00
25020,0.50,0.26,1.96,2.46,0.49,0.41,140.34,0.06,1.77,15.64,2.18,50.61,9.30,0.00
25021,0.49,0.25,2.10,2.10,0.50,0.43,146.72,0.07,1.86,15.67,2.06,34.17,9.11,0.00
25029,0.95,0.44,2.02,3.06,0.50,0.44,129.56,0.12,3.56,17.54,2.01,67.10,8.03,0.00
26003,0.96,0.47,1.94,2.04,0.84,0.96,177.60,0.20,2.36,0.00,0.00,16.75,14.35,0.00
26005,0.09,0.04,2.86,NaN,0.69,0.91,172.14,0.00,0.36,52.62,53.00,175.09,73.03,0.35
26006,5.92,3.01,1.30,4.71,0.71,0.97,169.84,0.03,19.50,3.37,17.88,113.06,100.04,0.04
26008,0.53,0.26,1.43,2.00,0.81,0.87,166.05,0.10,1.33,0.16,1.00,18.97,14.22,0.00
26009,0.97,0.45,1.24,2.72,0.80,0.98,168.21,0.18,2.58,0.00,0.00,25.05,15.05,0.00
27001,1.39,0.51,1.61,2.58,0.54,0.48,131.85,0.27,4.49,7.24,1.62,21.55,6.00,0.00
27002,1.95,0.60,1.38,2.90,0.49,0.38,124.95,0.28,6.72,8.83,1.42,60.27,9.51,0.00
27003,1.68,0.61,1.22,2.01,0.61,0.55,134.85,0.45,4.95,3.02,1.62,4.22,5.47,0.00
27006,1.18,0.41,1.68,2.07,0.56,0.49,139.98,0.28,3.76,8.21,1.74,9.33,4.71,0.00
27007,2.14,0.65,1.49,2.98,0.48,0.39,126.61,0.28,7.36,9.58,1.52,61.98,10.01,0.00
27009,1.38,0.53,1.67,2.87,0.54,0.45,130.63,0.20,4.75,4.82,2.07,50.84,8.36,0.00
27021,1.13,0.50,1.41,1.84,0.61,0.56,144.98,0.34,3.41,4.57,1.70,0.10,1.67,0.00
27023,0.98,0.45,1.53,2.22,0.55,0.49,141.81,0.21,3.15,9.33,1.67,11.73,4.92,0.00
27025,1.04,0.49,1.33,1.75,0.60,0.55,141.42,0.27,3.19,5.59,1.50,5.28,5.80,0.00
27026,1.01,0.45,1.49,2.78,0.51,0.45,134.02,0.15,3.44,10.92,1.60,51.48,6.76,0.00
27029,2.13,0.61,1.41,2.30,0.57,0.50,130.35,0.51,6.85,5.23,1.46,4.48,4.37,0.00
27030,0.95,0.48,1.42,1.81,0.61,0.56,149.06,0.27,2.81,5.22,1.70,1.07,2.39,0.00
27032,0.70,0.16,1.09,2.88,0.51,0.43,127.69,0.11,2.34,7.85,1.30,34.28,10.17,0.00
27034,2.80,0.71,1.38,3.42,0.43,0.31,122.00,0.21,10.30,13.54,1.55,90.80,9.86,0.00
27035,2.05,0.63,1.49,3.40,0.47,0.37,117.69,0.20,7.86,15.06,1.95,88.60,11.26,0.00
27038,6.03,2.74,0.86,0.72,0.90,0.95,180.85,3.75,9.10,0.10,2.50,0.00,0.00,0.00
27041,0.92,0.41,1.26,2.10,0.70,0.71,146.56,0.24,2.53,0.43,4.20,4.85,8.50,0.00
27042,1.55,0.56,1.11,2.41,0.63,0.59,139.55,0.32,4.40,2.56,1.37,17.77,7.90,0.00
27043,2.87,0.71,1.13,2.99,0.45,0.33,123.55,0.36,10.49,12.37,1.44,67.66,9.25,0.00
27047,4.34,0.86,0.96,4.24,0.32,0.18,121.75,0.17,18.32,32.35,1.51,131.84,7.89,0.00
27049,1.29,0.52,1.25,2.31,0.68,0.69,146.10,0.29,3.39,1.33,1.39,10.18,11.14,0.00
27051,1.16,0.50,1.64,4.56,0.42,0.31,124.90,0.05,4.65,23.53,1.83,136.86,13.11,0.00
27062,1.41,0.52,1.57,2.63,0.55,0.49,134.30,0.27,4.85,8.71,1.87,25.14,7.09,0.00
27064,0.58,0.33,1.73,1.73,0.61,0.57,151.53,0.16,1.67,7.41,1.95,0.51,2.44,0.00
27065,1.88,0.53,1.40,2.33,0.56,0.50,128.33,0.42,6.03,6.60,1.59,8.87,4.04,0.00
27071,1.30,0.54,1.55,2.52,0.55,0.47,132.85,0.22,4.46,5.29,1.86,31.55,8.89,0.00
27073,2.88,1.30,1.17,2.34,0.79,0.90,158.14,0.55,7.21,0.00,0.00,19.22,36.32,0.00
27077,0.89,0.34,0.82,1.98,0.57,0.51,143.10,0.24,2.67,5.35,1.34,0.41,3.20,0.00
27079,1.83,0.64,1.36,1.99,0.61,0.55,139.49,0.53,5.37,3.98,1.43,0.00,0.00,0.00
27080,1.87,0.67,1.06,2.05,0.60,0.54,139.39,0.53,5.67,2.86,1.49,0.00,0.00,0.00
27084,1.85,0.60,1.49,3.41,0.45,0.35,123.57,0.16,6.97,15.81,1.55,100.06,10.49,0.00
27087,0.73,0.34,1.29,1.99,0.78,0.82,156.35,0.18,1.73,0.00,0.00,6.12,8.74,0.00
27089,1.87,0.57,1.49,2.69,0.51,0.40,132.47,0.30,6.43,8.53,1.51,36.35,6.44,0.00
27090,2.23,0.66,1.69,2.91,0.47,0.37,127.93,0.23,8.09,9.94,1.47,72.01,8.86,0.00
28001,1.40,0.35,2.25,0.87,0.53,0.48,137.75,0.33,5.62,19.64,2.83,6.19,11.93,0.00
28003,1.07,0.52,0.79,1.29,0.66,0.60,168.55,0.43,2.75,1.89,1.15,0.00,0.00,0.00
28008,1.66,0.57,1.32,2.23,0.66,0.63,135.27,0.40,4.59,1.08,1.17,6.33,7.83,0.00
28009,0.98,0.45,1.54,1.91,0.66,0.63,141.46,0.32,2.80,0.63,2.54,0.29,5.00,0.00
28012,0.90,0.43,1.51,1.39,0.71,0.68,148.71,0.32,2.38,0.37,1.73,0.50,13.00,0.00
28015,0.39,0.21,1.02,1.31,0.78,0.78,153.75,0.14,0.89,0.05,1.00,1.49,7.38,0.00
28018,1.34,0.50,1.34,2.05,0.64,0.61,135.21,0.34,3.87,1.67,1.45,3.77,8.17,0.00
28022,0.94,0.45,1.51,1.85,0.67,0.64,142.58,0.29,2.67,0.23,2.00,1.15,10.00,0.00
28023,1.88,0.57,1.29,2.02,0.74,0.76,138.97,0.58,4.56,0.11,1.00,0.40,7.00,0.00
28024,0.58,0.32,1.83,3.18,0.47,0.40,130.77,0.06,2.47,24.45,2.98,94.04,10.14,0.00
28026,0.72,0.39,1.72,2.05,0.58,0.52,139.10,0.18,2.29,7.21,1.88,5.65,5.76,0.00
28031,2.11,0.69,1.16,2.36,0.58,0.52,129.02,0.36,6.65,3.87,1.20,30.62,10.41,0.00
28033,2.98,0.82,1.13,2.50,0.55,0.47,125.00,0.48,9.22,3.26,1.50,34.41,8.48,0.00
28039,0.86,0.39,1.15,1.85,0.52,0.44,152.46,0.21,2.67,7.28,1.21,6.22,3.59,0.00
28040,0.92,0.38,1.48,2.42,0.53,0.44,131.88,0.17,3.05,7.73,1.42,26.08,4.76,0.00
28043,1.61,0.48,1.82,2.25,0.59,0.55,132.04,0.37,5.17,5.85,1.75,5.85,5.15,0.00
28044,0.80,0.42,1.23,0.90,0.89,0.92,174.60,0.42,1.56,0.00,0.00,0.00,0.00,0.00
28046,1.98,0.63,1.33,1.98,0.75,0.77,141.90,0.52,4.70,0.15,1.00,5.29,17.19,0.00
28048,0.96,0.42,1.56,1.98,0.56,0.49,137.33,0.24,3.04,8.41,1.50,3.27,3.13,0.00
28050,0.60,0.35,1.30,1.39,0.72,0.70,162.00,0.22,1.49,1.47,2.21,0.16,1.60,0.00
28052,0.73,0.34,1.45,1.81,0.67,0.65,146.29,0.20,2.07,2.60,1.66,3.28,9.88,0.00
28055,1.08,0.44,1.62,2.86,0.55,0.49,131.98,0.17,3.63,8.45,1.43,47.96,7.40,0.00
28056,0.69,0.36,1.43,2.62,0.53,0.45,141.96,0.10,2.32,10.00,1.84,36.89,5.41,0.00
28060,0.24,0.13,1.48,1.59,0.73,0.73,158.04,0.07,0.59,2.51,1.33,2.95,4.03,0.00
28066,0.69,0.34,1.45,2.21,0.52,0.43,149.65,0.15,2.24,7.69,1.27,11.14,4.43,0.00
28067,1.38,0.49,1.61,2.12,0.65,0.63,139.40,0.36,3.91,2.51,1.68,1.68,2.37,0.00
28072,0.45,0.24,1.59,1.50,0.71,0.71,153.94,0.15,1.15,2.91,1.26,0.65,3.44,0.00
28074,0.79,0.42,1.23,1.93,0.61,0.55,144.63,0.23,2.58,4.64,2.31,0.73,4.50,0.00
28080,1.50,0.74,0.95,1.03,0.73,0.69,160.58,0.80,3.34,0.35,1.20,0.00,0.00,0.00
28081,1.05,0.51,1.02,1.37,0.69,0.64,187.47,0.38,2.56,1.33,1.20,2.05,3.25,0.00
28082,0.64,0.36,1.49,2.53,0.55,0.48,138.38,0.12,2.25,10.92,1.89,24.88,5.61,0.00
28085,1.41,0.49,1.39,2.17,0.66,0.63,136.12,0.36,4.08,2.08,1.54,0.75,2.44,0.00
28091,0.60,0.34,1.46,1.28,0.74,0.73,158.36,0.23,1.45,0.79,1.67,2.94,4.15,0.00
28093,0.75,0.40,1.37,2.00,0.59,0.53,143.54,0.20,2.54,7.30,2.40,1.31,2.04,0.00
28115,1.96,0.93,0.31,0.75,0.81,0.79,172.29,1.24,3.65,0.03,1.00,0.00,0.00,0.00
28116,0.50,0.26,0.59,0.97,0.78,0.76,164.88,0.27,1.01,0.16,1.33,0.00,0.00,0.00
28117,1.70,0.52,1.09,1.93,0.68,0.68,138.38,0.50,4.53,1.17,1.67,0.04,1.00,0.00
29002,0.68,0.35,1.57,1.58,0.84,0.88,167.27,0.26,1.44,0.12,1.00,0.00,0.00,0.00
29003,0.69,0.36,1.63,1.95,0.82,0.90,168.48,0.20,1.69,0.13,1.00,2.60,3.86,0.00
29005,0.76,0.42,1.64,2.91,0.55,0.51,138.54,0.09,2.42,12.83,2.33,68.88,10.26,0.00
29009,0.40,0.24,1.79,4.88,0.55,0.54,133.20,0.01,1.58,25.27,4.46,133.81,21.63,0.02
30001,0.57,0.32,2.04,2.33,0.69,0.69,154.94,0.13,1.67,2.67,1.58,12.65,5.44,0.00
30004,0.72,0.37,1.13,1.73,0.68,0.64,141.37,0.22,1.94,2.74,1.22,3.54,5.41,0.00
30005,0.55,0.30,2.19,2.50,0.73,0.79,157.44,0.11,1.63,1.41,1.38,20.64,6.65,0.00
30011,0.47,0.23,1.28,2.30,0.72,0.74,153.63,0.10,1.28,1.80,1.96,15.60,11.23,0.00
30012,0.61,0.31,1.98,3.98,0.51,0.46,130.65,0.02,2.15,15.42,2.17,116.04,17.29,0.00
30014,0.55,0.33,2.65,4.20,0.52,0.49,155.37,0.01,1.97,15.17,2.24,126.50,21.05,0.05
30015,0.58,0.30,1.72,2.39,0.78,0.90,164.32,0.13,1.53,0.04,1.00,10.08,9.55,0.00
3003,4.22,0.81,1.08,3.66,0.40,0.23,128.73,0.27,15.14,11.42,1.27,95.20,6.35,0.00
31002,0.28,0.16,3.22,4.49,0.57,0.57,150.38,0.01,1.10,25.08,4.05,138.64,32.73,0.02
31006,0.38,0.21,1.41,1.60,0.82,0.88,168.81,0.16,0.91,0.15,1.33,0.00,0.00,0.00
31010,0.64,0.35,1.78,2.59,0.58,0.54,139.42,0.09,2.15,10.10,1.82,40.46,9.92,0.00
31021,0.52,0.29,2.48,3.59,0.46,0.39,131.83,0.05,2.24,28.37,2.95,122.05,10.96,0.00
31023,0.40,0.22,2.79,NaN,0.23,0.12,135.16,0.00,1.95,73.62,4.93,220.77,20.41,0.39
31025,0.66,0.33,2.22,4.80,0.37,0.27,134.04,0.03,2.86,42.13,3.07,169.50,17.50,0.00
32003,0.54,0.30,2.93,2.54,0.51,0.45,141.50,0.09,1.93,16.18,2.22,34.46,5.20,0.00
32004,0.61,0.34,2.21,2.69,0.56,0.51,140.57,0.08,2.13,12.40,2.37,53.40,6.97,0.00
32006,0.60,0.33,1.97,2.34,0.63,0.59,140.87,0.13,1.93,7.83,1.74,7.17,5.38,0.00
32008,0.57,0.31,1.73,2.36,0.60,0.56,140.21,0.12,1.90,9.69,1.82,11.77,4.85,0.00
33006,0.66,0.35,1.66,1.94,0.78,0.81,156.77,0.15,1.59,0.00,0.00,11.10,11.54,0.00
33007,0.61,0.32,0.97,1.70,0.85,0.90,164.69,0.19,1.31,0.00,0.00,3.40,5.90,0.00
33012,0.38,0.23,2.29,4.38,0.34,0.25,132.65,0.01,1.83,48.35,5.16,190.42,23.03,0.01
33013,0.31,0.19,1.62,2.43,0.66,0.65,146.12,0.04,0.99,5.13,2.62,41.46,12.76,0.00
33014,0.40,0.24,0.88,1.50,0.78,0.77,158.37,0.14,0.95,0.46,1.50,0.93,2.67,0.00
33018,0.65,0.34,1.92,2.64,0.57,0.53,138.10,0.11,2.15,9.63,1.70,29.81,9.51,0.00
33019,0.53,0.30,1.36,2.32,0.75,0.78,148.52,0.12,1.38,0.29,2.50,12.19,8.68,0.00
33020,0.35,0.21,2.47,5.07,0.34,0.27,133.90,0.01,1.52,52.41,6.71,191.00,26.57,0.05
33021,0.32,0.21,1.45,2.53,0.72,0.74,153.60,0.07,0.97,5.71,3.06,12.90,10.32,0.00
33022,0.47,0.29,1.04,1.55,0.74,0.74,151.92,0.17,1.17,1.40,1.70,0.71,6.17,0.00
33023,0.16,0.09,1.80,4.01,0.67,0.68,158.02,0.01,0.55,13.58,2.88,122.71,43.11,0.01
33024,0.38,0.23,1.31,1.95,0.76,0.76,155.19,0.10,0.99,1.81,1.45,4.27,6.00,0.00
33026,0.47,0.27,2.03,3.10,0.56,0.51,138.69,0.07,1.81,13.95,4.30,63.35,5.74,0.00
33028,0.65,0.39,0.99,1.16,0.76,0.74,152.75,0.29,1.48,0.92,1.30,0.37,4.75,0.00
33029,0.44,0.25,2.34,2.84,0.77,0.84,153.88,0.05,1.20,0.50,1.53,39.75,25.51,0.00
33031,0.41,0.23,1.52,2.78,0.42,0.34,135.60,0.05,1.43,19.77,2.46,98.14,8.02,0.00
33032,0.31,0.17,1.57,1.85,0.86,0.96,179.69,0.08,0.74,0.00,0.00,9.62,24.95,0.00
33033,0.52,0.30,0.77,1.09,0.84,0.85,167.42,0.26,1.05,0.18,1.12,0.00,0.00,0.00
33034,0.44,0.26,1.32,2.04,0.77,0.80,152.23,0.12,1.14,0.13,2.33,3.92,12.00,0.00
33035,0.37,0.22,1.74,2.49,0.69,0.59,143.35,0.03,1.04,0.56,1.87,42.97,4.57,0.02
33039,0.60,0.34,1.54,2.47,0.60,0.56,140.26,0.11,2.18,8.05,3.59,27.68,8.02,0.00
33053,0.19,0.11,1.10,3.71,0.60,0.58,147.75,0.01,0.69,13.33,2.25,88.18,15.22,0.04
33054,0.92,0.49,1.43,1.48,0.89,0.95,176.26,0.35,1.78,0.00,0.00,1.19,3.67,0.00
33058,0.72,0.40,1.71,2.15,0.60,0.55,141.71,0.16,2.28,8.80,1.97,8.94,3.85,0.00
34002,0.41,0.24,1.42,2.10,0.64,0.60,136.77,0.10,1.28,5.56,1.97,10.88,9.00,0.00
34003,0.62,0.32,1.12,1.05,0.83,0.83,153.48,0.31,1.17,0.06,1.00,0.00,0.00,0.00
34004,0.63,0.33,0.88,1.76,0.76,0.76,146.42,0.20,1.50,0.16,2.67,5.21,4.77,0.00
34005,0.45,0.24,1.53,1.97,0.67,0.64,137.65,0.11,1.23,2.21,1.54,10.37,4.83,0.00
34006,0.40,0.24,1.68,2.83,0.52,0.46,134.48,0.06,1.55,20.37,3.32,48.04,9.46,0.00
